qna_id;question;answer;tags;query_1;query_2;query_3;query_4;query_5;query_6;query_7;query_8;query_9;query_10;query_11;query_12;query_13;query_14;query_15;query_16;query_17;query_18;query_19;query_20
1;Bir dönemde en fazla kaç Kredi/AKTS ders alabilirim?;"Bir öğrencinin bir yarıyılında alabileceği azami Kredi/AKTS toplamı, yarıyıl uygulamasında bir yarıyılda tanımlanmış derslerin toplam Kredi/AKTS yükünün %50’sinden fazlasını geçemez. Örneğin; dönem AKTS miktarı 30 ise bu miktarın yarısı kadar daha ders eklenerek toplamda AKTS miktarı 45 AKTS ye kadar çıkarılabilir. Bir döneme ait alınması gereken Kredi/AKTS miktarları programa göre değişiklik gösterebilmektedir. Öğrencilerimiz ""http://auzef.istanbul.edu.tr"" http://auzef.istanbul.edu.tr programlar sekmesinden programını seçerek ""Dersler"" alanından dönemsel Kredi/AKTS miktarına ulaşabilir.";DERS_SECIMI_MUAFIYET-DERS_EKLE_SIL-BILGI;Bir akademik dönem içerisinde maksimum kaç Kredi/AKTS'lik ders alabilirim?;Bir dönemde alabileceğim maksimum Kredi/AKTS miktarı nedir?;Dönemlik maksimum ders kredisi (AKTS) limiti kaçtır?;Bir dönemde alınabilecek en yüksek Kredi/AKTS sayısı nedir?;Bir dönemde maksimum ne kadar Kredi/AKTS ders alabilirim?;Öğrenciler bir dönem içinde ne kadar kredi ya da AKTS alabilirler?;Bir dönemdeki maksimum Kredi/AKTS limiti kaçtır?;Dönem başına alınabilecek Kredi/AKTS sayısının üst sınırı nedir?;;;;;;;;;;;;
2;Ödememi hangi bankadan yatırmalıyım?;"Ödeme işlemi ""aksis.istanbul.edu.tr""  ""Harç Bilgileri""  alanından yapabilirsiniz. Ayrıca AKSİS ten referans numarası alınarak Halk Bank Şube/ATM’lerinden gerçekleştirilir.";KAYIT_YENILEME_ODEME-ODEME_ISLEMLERI_KY-BILGI;Eğitim ücretimi yatırmak için hangi bankaları kullanabilirim?;Üniversite ödemelerimi hangi banka üzerinden gerçekleştirmeliyim?;Eğitim ücreti ödeme işlemlerim için kullanabileceğim bankalar hangileridir?;Eğitim giderlerimin ödemesini yaparken hangi bankaları kullanmam gerektiği bilgisine nereden ulaşabilirim?;Öğrenim ücreti ve diğer ödemeler için hangi bankalar aracılığıyla işlem yapabilirim?;bankalar ve ödeme yönergeleri hakkında bilgi nerede yer alıyor?;anlaşmalı olduğumuz bankalar ve ödeme prosedürü hakkında bilgiyi nereden edinebilirim?;Eğitim ücretimi ödemek için kullanmam gereken banka ve şube bilgilerini nasıl öğrenebilirim?; ödeme işlemleri için tercih edilecek banka bilgileri nereden alınır?;;;;;;;;;;;
3;AUZEF'te engelli öğrencilerin ücret indirimi nasıl yapılır?;"%40 ve üzeri engel durumu olup, Materyal ücreti muafiyeti talebinde bulunacak olan öğrencilerimizden aşağıda belirtilen evrakları Fakültemize ulaştırmaları (kargo yoluyla) hâlinde, program süresi ve kayıtlı olunan program sayısı sınırlaması olmaksızın öğrenim/materyal ücreti ve öğrenci katkı payı alınmayacaktır. Gerekli Evraklar: 1- Sağlık Kurulu Raporu: İlgili kurum ve kuruluşlardan alacakları belgenin ıslak imzalı, mühürlü, aslı gibidir onaylı örneği ya da E-Devlet sisteminden alınan elektronik imzalı hali, 2- İndirim/Muafiyet Başvurusu İçin Dilekçe: Başvuran adayın kendisinin doldurduğu talebini belirten ıslak imzalı dilekçe. Ayrıntılı bilgi ve dilekçe örneğine ""https://auzef.istanbul.edu.tr/tr/content/tanimlar-kosullar/ozel-gereksinimli-ogrenciler"" buradan ulaşabilirsiniz.";KAYIT_YENILEME_ODEME-ODEME_ISLEMLERI_KY-DESTEK;AUZEF'te engelli öğrenci olarak ücret indiriminden faydalanmak istiyorum;Engelli öğrenci indirimi için AUZEF'te hangi prosedürleri takip etmeliyim?;AUZEF'te engelli öğrencilere sunulan ücret indirimi hakkında detaylı bilgi almak istiyorum;Engelli statüsünde olan öğrencilerin AUZEF'te eğitim ücretlerinde indirim alabilmesi için gereken şartlar?;AUZEF'te engelli öğrenciler için öngörülen ücret indirimi için hangi belgeleri sunmam gerekiyor?;Engelli öğrenci olarak AUZEF'te ücret indiriminden yararlanmak istiyorum;AUZEF'te engelli öğrencilere sağlanan ücret indiriminden nasıl faydalanabilirim?;Engelli öğrenci muafiyeti almak istiyorum;engelli indirimi için başvuru süreci ve gerekli belgeler nelerdir;;;;;;;;;;;
4;Sınavlar hakkında bilgiye nereden erişebilirim?;"Sınavlarla ilgili ayrıntılı bilgiye web sayfamızdan ulaşabilirsiniz. Ayrıntılı bilgiye ""https://auzef.istanbul.edu.tr/tr/content/olcme-degerlendirme/sinavlar-hakkinda"" buradan ulaşabilirsiniz. -Tüm sınav tarihleri güncel olarak web sayfasındaki (""auzef.istanbul.edu.tr"" auzef.istanbul.edu.tr) ""AKADEMİK TAKVİM"" sayfasında yer alır. -Tüm sınavlar öncesinde, belirlenen tarih aralığında ""https://auzefsinav.istanbul.edu.tr"" https://auzefsinav.istanbul.edu.tr üzerinden sınav merkezi tercihi alınır. Tercih tarihleri (""https://auzef.istanbul.edu.tr/"" https://auzef.istanbul.edu.tr/) web sayfası, AUZEF sosyal medya hesapları ve SMS ile öğrencilere duyurulur. -Her akademik yarıyılda bir ara sınav (vize) ve bir bitirme (final) sınavı olmak üzere iki sınav yapılmaktadır. Bitirme sınavlarında başarısız olan bir öğrenciler herhangi bir ön şarta bağlı olmaksızın her yarıyılda FF DD ve DC dersleri için bir telafi (bütünleme) sınavına girme hakkına sahiptir. -AUZEF Sınavları (Vize, Final, Bütünleme) akademik takvimde belirtilen gün ve tarihlerde Fakültemizin uygun gördüğü sınav merkezlerinde gözetimli olarak olarak yapılmaktadır. -Fakültemiz tarafından gerçekleştirilen sınavların geneli çoktan seçmeli test şeklinde yapılmaktadır. Her ders için 20 soru sorulmakta ve soruların çözümü için 30 dakika süre verilmektedir. AUZEF tarafından gerçekleştirilen sınavlar yüzyüze olarak yapılır.";SINAV_HAKKINDA_BILGI-HARF_NOTU_SHB-BILGI;sınavlar hakkında detaylı bilgiye nasıl ulaşırım;sınav tarihleri bilgisine nereden ulaşırım?;sınav yerleri nereden ulaşabilirim?;sınav takvimine nereden ulaşırım?;Sınav tarihleri, sınav yerleri hakkında bilgi almak istiyorum?;sınav tarihleri ve sınav kuralları gibi detaylara nasıl erişebilirim?;AUZEF sınavlarıyla ilgili en güncel bilgilere, sınav takvimine ve sınav kurallarına nereden ulaşırım?;sınavlarım hakkında bilgi almak istiyorum, sınav takvimi, formatı ve gerekli belgeler hakkında nereden bilgi alabilirim?;sınavlar için gerekli belgelere nereden ılaşırım?;;;;;;;;;;;
5;AUZEF sınav merkezi tercihi nereden yapılır?;"Sınav merkezi tercih sistemi, her sınav dönemi öncesinde öğrencilerimizin tercihlerini güncelleyebilmeleri için açılmaktadır. Öğrenciler, sınav merkezi tercih işlemlerini her sınav öncesi yönetimce belirlenen ve AUZEF web sayfasında duyurulan tarihler arasında gerçekleştirmelidir. Sınav merkezi tercihi belirlenen tarih aralığında ""https://auzefsinav.istanbul.edu.tr"" https://auzefsinav.istanbul.edu.tr adresi üzerinden öğrenciler tarafından yapılacaktır. Sınav merkezi tercihi aşamasında engelli veya hükümlü olan öğrencilerin engel durumları ile ilgili bilgileri hatasız olarak bildirmeleri gerekmektedir.";SINAV_YERI_TERCIHI-ARA_SINAV_SYT-BILGI;AUZEF sınavları için tercih edeceğim sınav merkezini nasıl ve nereden belirleyebilirim?;Sınav merkezi tercihimi nasıl yapabilirim?;AUZEF sınavları için merkez tercihlerimi yapmak istiyorum;Sınav merkezi seçimim için hangi adımları izlemem gerektiğini öğrenmek istiyorum.;AUZEF'te sınav merkezi tercih işlemi nereden yapılıyor?;Sınav merkezi tercihim için AUZEF içinde bir işlem yapmam gerekiyor mu?;sınav merkezi seçimimi için gerekli yönergeler nerede yer alıyor?;AUZEF sınavları için sınav merkezi tercihlerimi nereye bildirmem gerekir?;"Yeni ikametgahıma göre sınav merkezi değişikliğini nerede yapabilirim.  
";;;;;;;;;;;
6;Canlı derslere nasıl katılırım?;"Canlı Ders programına AKSİS ""AUZEF Öğrenme Yönetim Sistemi"" alanından ulaşılır. Canlı derslere sadece uzaktan öğretim programı öğrencileri giriş sağlayabilmektedir. Uzaktan öğretim programlarına kayıt olmak için öğrencilerin ÖSYM sınavlarına girmiş ve programa yerleştirilerek kayıt yaptırmış olması gerekmektedir. ";DERS_MATERYALLERI-CANLI_DERS_ISLEYIS_ANLATIMI-DESTEK;Canlı derslere katılım işlemi nasıl yapılır?;Canlı derslere giriş için ne yapmam gerekiyor?;Online canlı derslere nasıl bağlanabilirim?;Canlı ders katılım süreci nasıldır?;Canlı derslere erişim sağlama yöntemi nedir?;Canlı derslere nasıl dahil olunur?;Canlı derslere katılma yöntemleri nelerdir?;Canlı derslere katılmak için adımlar nelerdir?;;;;;;;;;;;;
7;AUZEF Mobil nedir?; AUZEF Mobil, Google Play ve App Store’da yer alan bir uygulamadır. AUZEF Mobil ile ders kitaplarınızı mobil cihazlarınızdan okuyabilir, uygulamayı tabletinize ve telefonlarınıza ücretsiz kurabilirsiniz.;AUZEF_MOBIL_PROBLEMLERI-DIGER-DESTEK;AUZEF Mobil uygulaması hakkında bilgi verir misiniz?;AUZEF Mobil'in işlevleri nelerdir?;AUZEF Mobil uygulamasının amacı nedir?;AUZEF Mobil ne işe yarar?;AUZEF Mobil uygulaması ne için kullanılır?;AUZEF Mobil platformunun özellikleri nelerdir?;AUZEF Mobil hakkında genel bilgi nedir?;AUZEF Mobil uygulamasının kullanım amacı nedir?;AUZEF Mobil uygulaması ne işe yarar?;;;;;;;;;;;
8;(DC) ve (DD) harf notları neyi ifade eder?;Bir dersten (DD) ve (DC) harf notlarından birini alan öğrenci o dersi koşullu olarak başarmış sayılır. Mezuniyet aşamasında koşullu başarılı notların, başarılı kabul edilebilmesi için öğrencinin AGNO’ sunun en az 2.00 olması gerekir. Mezuniyet aşamasına gelmiş ve FF harf notlu dersi olmayan ancak AGNO'su 2.00'ın altında kalan öğrenciler bu derslerini tekrar alıp ortalamalarını yükseltmelidir. İlgili dönemlerde de öğrenciler ilgili derslerin sınavına tekrar girerek notlarını yükseltebilir.;SINAV_HAKKINDA_BILGI-HARF_NOTU_SHB-BILGI;(DC) ve (DD) harf notlarının anlamı nedir?;(DC) ve (DD) notları akademik olarak ne anlama gelir?;(DC) ve (DD) dereceleri neyi gösterir?;(DC) ve (DD) harf notlarının tanımı nedir?;(DC) ve (DD) harfleriyle ifade edilen notlar ne anlatır?;(DC) ve (DD) notlarının değeri nedir?;(DC) ve (DD) ile belirtilen harf notları hangi durumu ifade eder?;(DC) ve (DD) harf notlarının akademik değerlendirmedeki yeri nedir?;(DC) ve (DD) notları ile geçer miyim?;;;;;;;;;;;
9;Bitirme(Final) sınavına ne zaman gireceğim?;"Sınav tarihleri eğitim-öğretim yılı başında  auzef.istanbul.edu.tr de ""Akademik Takvim"" alanından yayınlanmaktadır. 
Bitirme(Final) Telafi(Bütünleme) sınavı ve diğer tüm sınavların tarihlerine Akademik Takvimden ulaşabilirsiniz.";SINAV_HAKKINDA_BILGI-BITIRME_SINAVI_SHB-BILGI;Final sınavı tarihleri ne zaman açıklanacak?;Bitirme sınavı için belirlenen tarih nedir?;Final sınavına giriş tarihi ne zaman olacak?;Bitirme sınavının yapılacağı zamanı nasıl öğrenebilirim?;Final sınav tarihleri hakkında bilgi nereden alınır?;Bitirme sınavına katılım için tarihler ne zaman belirlenir?;Final sınavına ne zaman gireceğimiz açıklandı mı?;Bitirme sınavının zamanlaması hakkında bilgiye nasıl ulaşabilirim?;final sınav tarihi ne zaman?;;;;;;;;;;;
10;Bitirme(Final) sınav sonuçlarına nereden ulaşabilirim?;"Bitirme (Final) Telafi(Bütünleme) sınav sonuçları ilk olarak ""https://auzefsinav.istanbul.edu.tr"" https://auzefsinav.istanbul.edu.tr/ adresinden ilan edilir, ""https://auzefsinav.istanbul.edu.tr/"" https://auzefsinav.istanbul.edu.tr/ adresine AKSİS kullanıcı adı ve şifresi ile giriş yapılır. Daha sonra notlar AKSİS' e aktarılır.";SINAV_HAKKINDA_BILGI-BITIRME_SINAVI_SHB-BILGI;Final sınav sonuçlarına erişim nasıl sağlanır?;Bitirme sınavı sonuçlarına ulaşmak için hangi adımları takip etmeliyim?;Final sınav sonuçlarımı nereden görebilirim?;Bitirme sınavı sonuçlarına nasıl ulaşırım?;Final sınav sonuçlarını nereden ve nasıl kontrol edebilirim?;Bitirme sınavı sonuçlarımı görüntüleme yolu nedir?;Final sınavı sonuçları hangi platform üzerinden paylaşılıyor?;Bitirme sınavı sonuçları için hangi web sitesini ziyaret etmeliyim?;;;;;;;;;;;;
